candidate_name,dataset,external_factor_name,scenario_id,top_residual_cell_count,top_residual_mass_share,top_positive_residual_cells_summary,top_negative_residual_cells_summary,residual_concentration_score
sqrt_static_pca_10_external_envelope,fit_external,external_constraint_pressure,fit_single_external_constraint_pressure_1.00,5,0.020683587158141167,cell1564:0.004332; cell1559:0.003097; cell1689:0.003074; cell939:0.003049; cell1439:0.002965,,0.08590490831655152
sqrt_static_pca_10_external_envelope,fit_external,external_shock,fit_pulse_external_shock_t4,5,0.020366181023294086,cell362:0.0009127; cell357:0.0008188; cell363:0.0007184; cell487:0.0007173,cell1612:-0.0009412,0.08488322475914668
sqrt_static_pca_10_external_envelope,fit_external,external_information_noise,fit_pulse_external_information_noise_t4,5,0.021778294993123684,,cell1612:-0.001313; cell1487:-0.001072; cell1611:-0.001061; cell2237:-0.0009375; cell1607:-0.0009237,0.1045180730933475
sqrt_static_pca_10_external_envelope,fit_external,external_constraint_pressure,fit_pulse_external_constraint_pressure_t4,5,0.021604335382121607,,cell1612:-0.00127; cell1487:-0.001083; cell1607:-0.001051; cell1611:-0.001045; cell1482:-0.000887,0.10186208147677105
sqrt_static_pca_10_external_envelope,fit_external,external_resource_supply,fit_reversal_resource_supply,5,0.01617103486831715,,cell312:-0.002298; cell313:-0.00159; cell317:-0.001573; cell437:-0.001568; cell937:-0.001535,0.0684731417686452
sqrt_static_pca_10_external_envelope,fit_external,external_demand,fit_reversal_demand,5,0.018841819392024697,cell957:0.0008831; cell832:0.0008176; cell837:0.0007803; cell962:0.000746; cell956:0.000736,,0.08256884708752535
sqrt_static_pca_10_external_envelope,fit_external,external_competition_pressure+external_information_noise,fit_competition_plus_noise,5,0.013356667620448943,cell1612:0.002494; cell1837:0.002364; cell1487:0.002318; cell1812:0.002214; cell1712:0.002109,,0.0434752642790174
sqrt_static_pca_10_external_envelope,fit_external,external_shock+external_constraint_pressure,fit_shock_plus_constraint,5,0.015638674543481,cell1612:0.003579; cell2237:0.002797; cell1611:0.002795,cell1212:-0.002825; cell1837:-0.002761,0.06072377856436464
sqrt_static_pca_10_external_envelope,fit_external,external_resource_supply+external_demand,fit_scarcity_plus_demand,5,0.02508360986228616,,cell362:-0.002161; cell363:-0.001929; cell487:-0.001807; cell357:-0.001723; cell358:-0.001455,0.12039816988711935
sqrt_static_pca_10_external_envelope,holdout_external,external_competition_pressure,holdout_unseen_intensity_competition,5,0.007149569500961771,cell2728:0.001791; cell1592:0.0017,cell2521:-0.001945; cell3006:-0.001784; cell2376:-0.001676,0.019632905647991025
sqrt_static_pca_10_external_envelope,holdout_external,external_information_noise,holdout_unseen_intensity_noise,5,0.008673803457997838,cell1812:0.002339; cell1807:0.002117; cell1832:0.002099; cell1837:0.002055,cell2521:-0.001992,0.02786189656512153
sqrt_static_pca_10_external_envelope,holdout_external,external_shock+external_constraint_pressure,holdout_stronger_shock,5,0.010735926399546082,cell1612:0.004157; cell2237:0.003193; cell1611:0.003185; cell312:0.003108; cell1607:0.003073,,0.041763985848199264
sqrt_static_pca_10_external_envelope,holdout_external,external_constraint_pressure,holdout_long_sustained_constraint,5,0.01145487509347112,cell1564:0.005174; cell1689:0.004044; cell1559:0.004019; cell1589:0.004011,cell962:-0.003886,0.04070940950200184
sqrt_static_pca_10_external_envelope,holdout_external,external_resource_supply,holdout_delayed_reversal_resource,5,0.008606859599961613,,cell312:-0.002928; cell287:-0.002069; cell311:-0.002045; cell2521:-0.001996; cell307:-0.001974,0.028309143855786888
sqrt_static_pca_10_external_envelope,holdout_external,external_shock,holdout_late_pulse_shock,5,0.00900423124517113,cell2728:0.001744,cell2521:-0.001977; cell3006:-0.00173; cell2604:-0.001703; cell3110:-0.00169,0.02778634882067486
sqrt_static_pca_10_external_envelope,holdout_external,external_information_noise+external_constraint_pressure,holdout_compound_unseen,5,0.008315248081442166,cell1564:0.002358; cell1689:0.002211; cell1559:0.002028; cell1688:0.001804,cell2521:-0.001998,0.02583842984196299
sqrt_static_pca_12_external_envelope,fit_external,external_resource_supply,fit_single_external_resource_supply_-1.00,5,0.01904021720729837,cell332:0.001647; cell307:0.001624; cell182:0.001598; cell187:0.001539; cell207:0.001483,,0.0755421862905399
sqrt_static_pca_12_external_envelope,fit_external,external_resource_supply,fit_single_external_resource_supply_-0.50,5,0.017389136936019595,cell332:0.001094; cell207:0.0009281; cell331:0.0008612; cell337:0.0008536,cell1612:-0.0008684,0.0687351947745962
sqrt_static_pca_12_external_envelope,fit_external,external_resource_supply,fit_single_external_resource_supply_+0.50,5,0.01159823591229082,cell1608:0.0005815,cell1062:-0.0007059; cell937:-0.0006775; cell912:-0.0005994; cell312:-0.0005444,0.040417221544671124
