scenario_id,candidate_name,seed,dataset,residual_start,residual_peak,residual_end,residual_mean,residual_slope,residual_peak_t,residual_persistence_rate,displacement_start,displacement_peak,displacement_end,displacement_mean,flag_start,flag_peak,flag_end,flag_persistence_rate
fit_unit,sqrt_static_pca_10_external_envelope,0,fit_external,0.0,0.1,0.1,0.03333333333333333,0.1,2,0.0,0.0,0.5922893393579131,0.5922893393579131,0.3505983934842118,0.0,0.0,0.0,0.0
holdout_unit,sqrt_static_pca_10_external_envelope,0,holdout_external,0.0,0.1,0.09999999999999998,0.06666666666666667,0.09999999999999998,1,0.0,0.0,0.6969838144655189,0.6969838144655189,0.39103099663296487,0.0,0.0,0.0,0.0
no_ext,sqrt_static_pca_10_external_envelope,0,no_external_reference,0.0,0.10000000000000002,0.10000000000000002,0.03333333333333334,0.10000000000000002,2,0.3333333333333333,0.0,0.3333850896488448,0.3333850896488448,0.21791652522092642,0.0,1.0,1.0,0.3333333333333333
