candidate_name,dataset,correlation_residual_displacement,correlation_residual_velocity,correlation_residual_curvature,high_residual_high_displacement_rate,high_residual_low_displacement_rate,low_residual_high_displacement_rate,low_residual_low_displacement_rate
sqrt_static_pca_10_external_envelope,fit_external,0.4279406451824311,0.11451060999382512,0.19203229824083193,0.07532051282051282,0.17467948717948717,0.17467948717948717,0.5753205128205128
sqrt_static_pca_10_external_envelope,holdout_external,-0.13506591754658634,0.24596416561586817,0.28678507977959683,0.0,0.25252525252525254,0.25252525252525254,0.494949494949495
sqrt_static_pca_10_external_envelope,no_external_reference,-0.2282765222566723,-0.22831831883918616,-0.1484984118018016,0.049586776859504134,0.19834710743801653,0.19834710743801653,0.5537190082644629
sqrt_static_pca_12_external_envelope,fit_external,0.33651886741535486,0.10210554438899626,0.13303449393300393,0.03445512820512821,0.2155448717948718,0.2155448717948718,0.5344551282051282
sqrt_static_pca_12_external_envelope,holdout_external,-0.291470734917351,0.17778237748443065,-0.008412244260189132,0.0,0.25252525252525254,0.25252525252525254,0.494949494949495
sqrt_static_pca_12_external_envelope,no_external_reference,-0.2248792608532811,-0.22493351152771388,-0.1463804075454326,0.04132231404958678,0.2066115702479339,0.2066115702479339,0.5454545454545454
sqrt_static_pca_15_external_envelope,fit_external,0.38256730103292974,0.06746638491604738,0.2973369648383233,0.05689102564102564,0.19310897435897437,0.19310897435897437,0.5568910256410257
sqrt_static_pca_15_external_envelope,holdout_external,-0.4085702002053291,0.14824415931153243,0.12006080451362218,0.0,0.25252525252525254,0.25252525252525254,0.494949494949495
sqrt_static_pca_15_external_envelope,no_external_reference,-0.22322477307142383,-0.22375629829929358,-0.1472046144013859,0.024793388429752067,0.2231404958677686,0.2231404958677686,0.5289256198347108
raw_static_pca_10_external_envelope,fit_external,0.2619697985470615,0.04497915394056798,0.20612084394725488,0.04326923076923077,0.20673076923076922,0.20673076923076922,0.5432692307692307
raw_static_pca_10_external_envelope,holdout_external,0.2559623521272845,0.04730603901285502,0.129235173612367,0.04040404040404041,0.21212121212121213,0.21212121212121213,0.5353535353535354
raw_static_pca_10_external_envelope,no_external_reference,-0.22101367275229614,-0.2210011559318994,-0.14446446282673028,0.024793388429752067,0.2231404958677686,0.2231404958677686,0.5289256198347108
sqrt_sparse_temporal_lag_pca_10_external_envelope,fit_external,0.42790031554457936,0.11440959965764033,0.19752307819323453,0.07532051282051282,0.17467948717948717,0.17467948717948717,0.5753205128205128
sqrt_sparse_temporal_lag_pca_10_external_envelope,holdout_external,-0.13467739517646393,0.2466131091193389,0.2884110929449285,0.0,0.25252525252525254,0.25252525252525254,0.494949494949495
sqrt_sparse_temporal_lag_pca_10_external_envelope,no_external_reference,-0.3012654805130598,-0.3159985799496019,-0.2177463589204779,0.0,0.24793388429752067,0.24793388429752067,0.5041322314049587
