candidate_name,candidate_role,snapshot_count,reconstruction_error_mean,reconstruction_error_max,residual_energy_ratio_mean,residual_energy_ratio_max,external_residual_gain_mean,external_score_displacement_mean,external_gt_velocity_mean,external_gt_curvature_mean,out_of_envelope_rate,score_range_violation_count,delta_residual_gain_vs_sqrt_static_pca_10,delta_score_displacement_vs_sqrt_static_pca_10,review_status
sqrt_static_pca_10,audit_focus_candidate,1287,0.0006855379035151815,0.001701616909563506,0.019646714822290034,0.11310638426773498,0.004714711835033505,0.004055370099275689,0.024658683338864954,0.0039479985777636385,0.3822843822843823,466,0.0,0.0,requires_human_review
sqrt_static_pca_7,continuity_baseline,1287,0.001096336144368298,0.002371731759746352,0.050627302671957405,0.19041103231019849,0.005215168558470896,0.0034104762518833596,0.021067692498813347,0.003242155035363341,0.47785547785547783,454,0.0005004567234373914,-0.0006448938473923296,requires_human_review
sqrt_static_pca_12,higher_dimension_audit,1287,0.0005907319128447904,0.0016903523042451295,0.01665764309814553,0.1122152732449466,0.004620487939272818,0.004146298860659843,0.024737439659135472,0.004005424090100436,0.4017094017094017,466,-9.422389576068703e-05,9.092876138415418e-05,requires_human_review
raw_static_pca_7,numerical_reconstruction_baseline,1287,2.8230462188566593e-05,0.00011713267801242069,0.0027340995459383755,0.022902049130605468,0.001406422200166699,0.0003550396341145586,0.0024462356847416524,0.00041863394787833763,0.6418026418026418,513,-0.0033082896348668057,-0.0037003304651611305,requires_human_review
sqrt_sparse_temporal_lag_pca_10,temporal_audit_candidate,1287,0.000716078744563606,0.0017437859847040593,0.022370149684167985,0.12154685212310143,0.004753793349305377,0.003843349064477904,0.02449350149475988,0.003923666037477608,0.3457653457653458,430,3.908151427187232e-05,-0.00021202103479778505,requires_human_review
