axis_id,external_factor_name,scenario_group,response_mean,response_peak,response_slope,response_persistence,fit_response_mean,holdout_response_mean,response_generalization_gap
distribution_shape_01,external_competition_pressure,single_sustained_factor,0.0035527622175845117,0.005125942209951669,-0.0026983616009218355,0.25,0.0035527622175845117,0.0035556795134474204,2.9172958629086754e-06
distribution_shape_01,external_competition_pressure,unseen_factor_intensity,0.0035556795134474204,0.00513011486891052,-0.0026950967327127717,0.2692307692307692,0.0035527622175845117,0.0035556795134474204,2.9172958629086754e-06
distribution_shape_01,external_competition_pressure+external_information_noise,compound_pressure,0.003550639087076917,0.005125942209951669,-0.0027217494998349016,0.2564102564102564,0.0035506390870769164,0.0,0.0035506390870769164
distribution_shape_01,external_constraint_pressure,longer_sustained_factor,0.002956366305365754,0.00513011486891052,-0.003426296925084342,0.2619047619047619,0.003561005651584108,0.0029563663053657537,0.0006046393462183545
distribution_shape_01,external_constraint_pressure,pulse_factor,0.003558347659747326,0.005125942209951669,-0.0026773861707232328,0.2564102564102564,0.003561005651584108,0.0029563663053657537,0.0006046393462183545
distribution_shape_01,external_constraint_pressure,single_sustained_factor,0.0035616701495433034,0.005125942209951669,-0.0027067079379836444,0.25,0.003561005651584108,0.0029563663053657537,0.0006046393462183545
distribution_shape_01,external_demand,reversal_factor,0.003562768960361498,0.005125942209951669,-0.002665391925145215,0.2564102564102564,0.0035634543793979885,0.0,0.0035634543793979885
distribution_shape_01,external_demand,single_sustained_factor,0.003563625734157112,0.005125942209951669,-0.0026576730006570445,0.25,0.0035634543793979885,0.0,0.0035634543793979885
distribution_shape_01,external_information_noise,pulse_factor,0.0035585912499450103,0.005125942209951669,-0.0026795844199914987,0.2564102564102564,0.0035578713359669047,0.0035612248786075907,3.3535426406860677e-06
distribution_shape_01,external_information_noise,single_sustained_factor,0.003557691357472378,0.005125942209951669,-0.002719358218631104,0.25,0.0035578713359669047,0.0035612248786075907,3.3535426406860677e-06
distribution_shape_01,external_information_noise,unseen_factor_intensity,0.0035612248786075907,0.00513011486891052,-0.0027002156162738516,0.2692307692307692,0.0035578713359669047,0.0035612248786075907,3.3535426406860677e-06
distribution_shape_01,external_information_noise+external_constraint_pressure,unseen_compound_combination,0.0035603272958799792,0.00513011486891052,-0.002721358292587005,0.2692307692307692,0.0,0.0035603272958799792,0.0035603272958799792
distribution_shape_01,external_resource_supply,different_reversal_timing,0.00356711877578406,0.00513011486891052,-0.0026598162609827052,0.2692307692307692,0.0035593620588826695,0.00356711877578406,7.756716901390504e-06
distribution_shape_01,external_resource_supply,reversal_factor,0.0035617949753482337,0.005125942209951669,-0.002678097583322235,0.2564102564102564,0.0035593620588826695,0.00356711877578406,7.756716901390504e-06
distribution_shape_01,external_resource_supply,single_sustained_factor,0.003558753829766279,0.005125942209951669,-0.0026566427094578265,0.25,0.0035593620588826695,0.00356711877578406,7.756716901390504e-06
distribution_shape_01,external_resource_supply+external_demand,compound_pressure,0.0035593935086916163,0.005125942209951669,-0.002689596182352083,0.2564102564102564,0.0035593935086916176,0.0,0.0035593935086916176
