axis_id,scenario_id,seed,dataset,response_start,response_peak,response_end,velocity_mean,velocity_peak,acceleration_peak,curvature_mean,curvature_peak,reversal_score,recovery_score,persistence_score,oscillation_score
distribution_shape_01,fit_single_external_competition_pressure_0.25,0,fit_external,0.373586848813925,0.373586848813925,0.1942514613937151,0.04483384685505248,0.07836192615566823,0.0211644404957797,0.008646487637753768,0.0211644404957797,0.3333333333333333,0.9999999999944238,0.25,0.3333333333333333
distribution_shape_01,fit_single_external_competition_pressure_0.25,1,fit_external,0.3769749869519316,0.3769749869519316,0.19594356619717823,0.04525785518868834,0.07911130540577371,0.02137508644367217,0.0087318522547239,0.02137508644367217,0.3333333333333333,0.9999999999944761,0.25,0.3333333333333333
distribution_shape_01,fit_single_external_competition_pressure_0.50,0,fit_external,0.373586848813925,0.373586848813925,0.1943886746904013,0.04479954353088093,0.07836461582046561,0.02123253813847964,0.008665783799848371,0.02123253813847964,0.3333333333333333,0.9999999999944196,0.25,0.3333333333333333
distribution_shape_01,fit_single_external_competition_pressure_0.50,1,fit_external,0.3769749869519316,0.3769749869519316,0.1960818385793828,0.0452232870931372,0.07911425905398173,0.021444012911218502,0.00875140396954447,0.021444012911218502,0.3333333333333333,0.9999999999944719,0.25,0.3333333333333333
distribution_shape_01,fit_single_external_demand_+0.50,0,fit_external,0.373586848813925,0.373586848813925,0.19423930927320285,0.04483688488518054,0.07835986994931932,0.02115481561234428,0.008644313673722877,0.02115481561234428,0.3333333333333333,0.9999999999944242,0.25,0.3333333333333333
distribution_shape_01,fit_single_external_demand_+0.50,1,fit_external,0.3769749869519316,0.3769749869519316,0.1959315837270368,0.0452608508062237,0.07910906582213506,0.021365309274280625,0.008729621241807442,0.021365309274280625,0.3333333333333333,0.9999999999944764,0.25,0.3333333333333333
distribution_shape_01,fit_single_external_demand_+1.00,0,fit_external,0.373586848813925,0.373586848813925,0.19437520941303876,0.04480290985022156,0.07836048408630547,0.021212663891804512,0.008664287241556413,0.021212663891804512,0.3333333333333333,0.99999999999442,0.25,0.3333333333333333
distribution_shape_01,fit_single_external_demand_+1.00,1,fit_external,0.3769749869519316,0.3769749869519316,0.19606859910364655,0.045226596962071264,0.07910976221107607,0.021423726313964858,0.008749793117744577,0.021423726313964858,0.3333333333333333,0.9999999999944722,0.25,0.3333333333333333
distribution_shape_01,fit_single_external_demand_-0.50,0,fit_external,0.373586848813925,0.373586848813925,0.1950387258275514,0.0446370307465934,0.07784127795070933,0.020858037855175954,0.00852941825264461,0.020858037855175954,0.3333333333333333,0.9999999999943993,0.25,0.3333333333333333
distribution_shape_01,fit_single_external_demand_-0.50,1,fit_external,0.3769749869519316,0.3769749869519316,0.19673868176570908,0.04505907629655563,0.07858545806718265,0.021065613386601983,0.008613613907180857,0.021065613386601983,0.3333333333333333,0.9999999999944517,0.25,0.3333333333333333
