axis_id,candidate_name,dataset,correlation_with_positive_residual,correlation_with_negative_residual,correlation_with_residual_energy,residual_peak_alignment,residual_persistence_alignment,holdout_residual_relation,residual_explanation_score
distribution_shape_01,distribution_shape_01,fit_external,-0.9962682703016696,-0.9962682703016695,-0.9420672970203144,0.0,0.32954545454545414,-0.9128403965000187,0.8539713502423741
distribution_shape_01,distribution_shape_01,holdout_external,-0.9729905905409968,-0.9729905905409967,-0.9128403965000187,0.0,0.32954545454545414,-0.9128403965000187,0.8539713502423741
distribution_shape_02,distribution_shape_02,fit_external,0.9989401623538652,0.998940162353865,0.9569897869351435,1.0,0.8624608150470219,0.9752931715782875,0.9483945149895291
distribution_shape_02,distribution_shape_02,holdout_external,0.9993178849526241,0.9993178849526242,0.9752931715782875,1.0,0.8624608150470219,0.9752931715782875,0.9483945149895291
distribution_shape_03,distribution_shape_03,fit_external,-0.994100478353588,-0.994100478353588,-0.9724265345076017,0.0,0.3295454545454539,-0.9986120825314923,0.995504172756592
distribution_shape_03,distribution_shape_03,holdout_external,-0.9885226853503063,-0.9885226853503061,-0.9986120825314923,0.0,0.3295454545454539,-0.9986120825314923,0.995504172756592
distribution_shape_04,distribution_shape_04,fit_external,0.9911645159949279,0.9911645159949277,0.9701330178610554,0.0,0.5873824451410654,0.9109631267684482,0.9097928071297082
distribution_shape_04,distribution_shape_04,holdout_external,0.9592875309650924,0.9592875309650926,0.9109631267684482,0.0,0.5873824451410654,0.9109631267684482,0.9097928071297082
distribution_shape_05,distribution_shape_05,fit_external,0.9981256446009599,0.9981256446009601,0.9685000581135759,1.0,0.6790752351097178,0.9909530828630192,0.9796079060582084
distribution_shape_05,distribution_shape_05,holdout_external,0.9980722581279952,0.9980722581279956,0.9909530828630192,1.0,0.6790752351097178,0.9909530828630192,0.9796079060582084
distribution_shape_06,distribution_shape_06,fit_external,0.810920356784731,0.8109203567847314,0.8625774057231195,1.0,0.6332288401253918,0.9975115198751068,0.9670263128217811
distribution_shape_06,distribution_shape_06,holdout_external,0.9716079039817206,0.9716079039817206,0.9975115198751068,1.0,0.6332288401253918,0.9975115198751068,0.9670263128217811
distribution_shape_07,distribution_shape_07,fit_external,0.9976318162479997,0.997631816248,0.9734242335494026,1.0,0.6332288401253916,0.9969350847344987,0.9953402424701294
distribution_shape_07,distribution_shape_07,holdout_external,0.9931146446175116,0.9931146446175114,0.9969350847344987,1.0,0.6332288401253916,0.9969350847344987,0.9953402424701294
distribution_shape_08,distribution_shape_08,fit_external,0.9995986074573583,0.999598607457358,0.968416514266583,1.0,0.8624608150470219,0.9927250049852699,0.9811493350199362
distribution_shape_08,distribution_shape_08,holdout_external,0.996695428751759,0.9966954287517586,0.9927250049852699,1.0,0.8624608150470219,0.9927250049852699,0.9811493350199362
terrain_semantic_short_payoff,terrain_semantic_short_payoff,fit_external,-0.9550925404226998,-0.9550925404227,-0.8969806925194187,1.0,0.24937225261880175,0.8778502813647454,0.7960170868858417
terrain_semantic_short_payoff,terrain_semantic_short_payoff,holdout_external,0.780202708034179,0.7802027080341787,0.8778502813647454,1.0,0.24937225261880175,0.8778502813647454,0.7960170868858417
terrain_semantic_medium_payoff,terrain_semantic_medium_payoff,fit_external,-0.541825105222681,-0.5418251052226813,-0.6822191163958393,0.0,0.329545454545454,-0.9917431155401173,0.98492432958585
terrain_semantic_medium_payoff,terrain_semantic_medium_payoff,holdout_external,-0.975343731971719,-0.9753437319717186,-0.9917431155401173,0.0,0.329545454545454,-0.9917431155401173,0.98492432958585
terrain_semantic_effective_medium_payoff,terrain_semantic_effective_medium_payoff,fit_external,-0.5510866943067397,-0.55108669430674,-0.6899796894489891,0.0,0.329545454545454,-0.9916223888754959,0.9849717111974541
terrain_semantic_effective_medium_payoff,terrain_semantic_effective_medium_payoff,holdout_external,-0.9757534596699496,-0.9757534596699498,-0.9916223888754959,0.0,0.329545454545454,-0.9916223888754959,0.9849717111974541
terrain_semantic_friction,terrain_semantic_friction,fit_external,0.7696580999689352,0.7696580999689351,0.5929490852759418,1.0,0.2664576802507835,0.49925682711179953,0.38096202803659335
terrain_semantic_friction,terrain_semantic_friction,holdout_external,0.6045225888370942,0.6045225888370942,0.49925682711179953,1.0,0.2664576802507835,0.49925682711179953,0.38096202803659335
terrain_semantic_viscosity,terrain_semantic_viscosity,fit_external,0.7609906388457887,0.7609906388457889,0.5831121622909426,1.0,0.17476489028213138,0.42963186871517856,0.36290496141359074
terrain_semantic_viscosity,terrain_semantic_viscosity,holdout_external,0.5440464804763416,0.5440464804763416,0.42963186871517856,1.0,0.17476489028213138,0.42963186871517856,0.36290496141359074
terrain_semantic_rigidity,terrain_semantic_rigidity,fit_external,0.7500834197836352,0.7500834197836351,0.5746613676174367,0.0,0.3581504702194356,0.3843806673706887,0.383643873462653
terrain_semantic_rigidity,terrain_semantic_rigidity,holdout_external,0.505228013708305,0.505228013708305,0.3843806673706887,0.0,0.3581504702194356,0.3843806673706887,0.383643873462653
terrain_semantic_recovery_speed,terrain_semantic_recovery_speed,fit_external,0.8114387496921394,0.8114387496921395,0.6452575700068999,0.0,0.22061128526645873,0.3620882987815593,0.29965027027213714
terrain_semantic_recovery_speed,terrain_semantic_recovery_speed,holdout_external,0.49414232309822764,0.4941423230982276,0.3620882987815593,0.0,0.22061128526645873,0.3620882987815593,0.29965027027213714
terrain_semantic_route_support,terrain_semantic_route_support,fit_external,0.8039281699165751,0.8039281699165753,0.6356078349108307,1.0,0.4956896551724133,0.54428401786509,0.4372147791497638
terrain_semantic_route_support,terrain_semantic_route_support,holdout_external,0.6525482895542128,0.6525482895542131,0.54428401786509,1.0,0.4956896551724133,0.54428401786509,0.4372147791497638
terrain_semantic_operating_cost,terrain_semantic_operating_cost,fit_external,0.8714369903295992,0.8714369903295991,0.7244771399936704,1.0,0.6790752351097182,0.6310356090074324,0.5137831470995805
terrain_semantic_operating_cost,terrain_semantic_operating_cost,holdout_external,0.7391484119866245,0.7391484119866245,0.6310356090074324,1.0,0.6790752351097182,0.6310356090074324,0.5137831470995805
terrain_semantic_cost_reduction_gain,terrain_semantic_cost_reduction_gain,fit_external,0.8495492613598284,0.8495492613598282,0.6967598544650168,0.0,0.4498432601880872,0.5861414710917682,0.4319518972063278
terrain_semantic_cost_reduction_gain,terrain_semantic_cost_reduction_gain,holdout_external,0.7001814224474698,0.70018142244747,0.5861414710917682,0.0,0.4498432601880872,0.5861414710917682,0.4319518972063278
terrain_semantic_viability_reserve,terrain_semantic_viability_reserve,fit_external,0.8048895510255257,0.8048895510255257,0.6368879696743156,1.0,0.4956896551724133,0.5586590499822685,0.45210367849472544
terrain_semantic_viability_reserve,terrain_semantic_viability_reserve,holdout_external,0.6646680984596935,0.6646680984596937,0.5586590499822685,1.0,0.4956896551724133,0.5586590499822685,0.45210367849472544
