axis_id,captures_velocity,captures_acceleration,captures_curvature,captures_reversal,captures_recovery,captures_persistence,captures_oscillation,captures_boundary_shift,captures_concentration,captures_release,captures_reallocation,macro_dynamics_preservation_score
distribution_shape_01,0.3769800023017641,0.1352325171999381,0.1352325171999381,0.7863247863247863,0.49572087765199235,0.24786324786324787,0.322,0.6925708344919375,1.0,0.0,0.0,1.0
distribution_shape_02,0.2706548935226067,0.08006403207135904,0.08006403207135904,0.0,0.25808639441578646,0.24786324786324787,0.322,0.752943677595806,0.9746235739075192,0.0,0.0,1.0
distribution_shape_03,0.08205083203094161,0.6199928481980465,0.6199928481980465,0.7863247863247863,0.07662409161984293,0.24786324786324787,0.322,0.7844504983697943,0.8936885786558032,0.0,0.0,1.0
distribution_shape_04,0.40389803012586456,0.5373656503825921,0.5373656503825921,0.05982905982905983,0.0442121916118038,0.24786324786324787,0.324,0.763298565691466,0.9663268913722356,0.0,0.0,1.0
distribution_shape_05,0.16153907581312563,0.229830961138141,0.229830961138141,0.0,0.09298933521468906,0.24786324786324787,0.322,0.7741875356926706,0.939873108809293,0.0,0.0,1.0
distribution_shape_06,0.4870806886486661,0.12790058554647707,0.12790058554647707,0.0,0.003929617419259795,0.24786324786324787,0.322,0.6725256958016955,0.7891763708953992,0.0,0.0,1.0
distribution_shape_07,0.048368356075619096,0.6595411315253998,0.6595411315253998,0.0,0.05590984174002674,0.24786324786324787,0.322,0.8049162545969781,0.8955352671001537,0.0,0.0,1.0
distribution_shape_08,0.10864550326710917,0.04298047760009939,0.04298047760009939,0.0,0.31549234881978405,0.24786324786324787,0.322,0.7674142393237496,0.9362329067510314,0.0,0.0,1.0
terrain_semantic_short_payoff,0.7317713420612088,0.11245168837910642,0.11245168837910642,0.6581196581196581,0.12525523778079994,0.23076923076923078,0.324,0.549573199499124,0.3882891852356418,0.0,0.0,1.0
terrain_semantic_medium_payoff,0.323811110115596,0.1998269064197352,0.1998269064197352,0.5811965811965812,0.07864832393822076,0.24786324786324787,0.6306666666666666,0.8232238436141702,0.8016367628930295,0.0,0.0,1.0
terrain_semantic_effective_medium_payoff,0.31854691710808264,0.20011792032723452,0.20011792032723452,0.5811965811965812,0.0795793282027683,0.24786324786324787,0.6306666666666666,0.823996408952238,0.8031391174633136,0.0,0.0,1.0
