axis_id,value_mean,value_std,value_min,value_max
distribution_shape_01,0.2468725375341914,0.09881972963784334,0.025693645999897072,0.37911043571762515
distribution_shape_02,2.7262276115182225,0.532452989697742,2.1410522553239764,4.2859724351120585
distribution_shape_03,0.4680189734793241,0.042424737480040095,0.3195357359722774,0.5006521327046485
distribution_shape_04,0.5161299645317827,0.01662758423855025,0.49824889469082956,0.5614511924143314
distribution_shape_05,0.5406303797094129,0.0447260757212018,0.4999389777117362,0.6811596482254043
distribution_shape_06,0.5019373420285218,0.003460974545527878,0.4986031099410244,0.5148609436010436
distribution_shape_07,0.5260592369964145,0.035500382046072955,0.4995441638991248,0.6470073224673976
distribution_shape_08,0.21451135205790825,0.06513909596744437,0.1534774527674262,0.43421616300973637
terrain_semantic_short_payoff,0.48495317810454436,0.06276958499592426,0.41582925285804934,0.7645877474813212
terrain_semantic_medium_payoff,0.4887270821573151,0.10311038372655253,0.13014978757780027,0.5531383028320503
terrain_semantic_effective_medium_payoff,0.4884538571745853,0.10292194033786509,0.13173644953650376,0.5528896099315646
terrain_semantic_friction,0.26989908505618254,0.1422543292743078,0.0,0.4029634969425341
terrain_semantic_viscosity,0.227880005825637,0.12036749609843331,0.0,0.32579805535836037
terrain_semantic_rigidity,0.18465567410238354,0.09984377292469158,0.0,0.2953936833460731
terrain_semantic_recovery_speed,0.5057081837024487,0.26488536632891907,0.0,0.6578580210635604
terrain_semantic_route_support,0.49389877432417856,0.26181575146414493,0.0,0.8311082452880731
terrain_semantic_operating_cost,0.2319372408185683,0.1256640184413533,0.0,0.3873296512413601
terrain_semantic_cost_reduction_gain,0.14921383605630317,0.07951038825905593,0.0,0.22197624660607657
terrain_semantic_viability_reserve,0.5126632223929323,0.2726966840430385,0.0,0.8713108760245678
terrain_interaction_short_payoff_x_friction,0.14997888618381053,0.08969250667614245,0.0,0.37151141634757784
terrain_interaction_medium_payoff_x_viscosity,0.09635941455714911,0.06266963378048794,0.0,0.16968286362012713
terrain_interaction_effective_medium_payoff_x_operating_cost,0.09275289503253849,0.05895624349245871,0.0,0.15171117387469843
terrain_interaction_route_support_x_cost_reduction_gain,0.10253201171410328,0.056225844479210675,0.0,0.19185301152567474
terrain_interaction_viability_reserve_x_negative_viability_pressure,0.00010362313830308325,0.00022633996639033696,0.0,0.001542081680194765
terrain_interaction_released_mass_x_release_reallocation_flow,0.00013282645844096323,0.00025657663277998776,0.0,0.0018041192985603517
temporal_response_information_memory,0.1297123482720648,0.0964010166091733,0.0,0.2992424268806634
temporal_response_exploration_option_value,0.3371783496101872,0.17851571263830265,0.0,0.5022288456473039
temporal_response_exploration_net_expected_value,0.3559454815913225,0.18808990076776774,0.0,0.5215692398337373
temporal_response_expected_value_advantage,0.030337696488595144,0.03563066352065268,0.0,0.12813015134586828
temporal_response_last_flow,0.23399703822076243,0.13268014087699528,0.0,0.44611323653674784
external_response_external_resource_supply,0.008289661630498418,0.13040327189599302,-0.34803599153274534,0.34513339206261484
external_response_external_demand,0.0015242056046275477,0.12375822506561476,-0.3481564731140146,0.3679725104858091
external_response_external_competition_pressure,0.01849087681876872,0.05173112783774465,0.0,0.21464738674065684
external_response_external_information_noise,0.005130612475827753,0.03177927669465424,0.0,0.20834233053992002
external_response_external_shock,0.009068241675991956,0.05615550307204986,0.0,0.36418344701906347
external_response_external_constraint_pressure,0.05049917858486127,0.10375995918364032,0.0,0.2998281341739953
residual_response_positive_residual_proxy,0.17404563115334493,0.16275938349868335,0.013653582216199094,0.6673736562572901
residual_response_negative_residual_proxy,0.17404563115334518,0.16275938349868335,0.013653582216199351,0.6673736562572903
residual_response_residual_energy_proxy,0.041672361070409454,0.07065434563191364,4.95280972331826e-06,0.29502212730513017
