index,scenario_id,step,stability_before,risk_before,opportunity_before,exploration_capacity_before,recovery_capacity_before,fatigue_before,relation_lock_before,hidden_fragility_before,external_pressure_before,safe_mass_upper_before,harmful_threshold_before,decision_type,selected_channel,selected_action_mass,short_term_gain,safety_violation,over_action,missed_opportunity,delayed_side_effect_cost,recovery_score,stability_after,risk_after,opportunity_after,exploration_capacity_after,recovery_capacity_after,fatigue_after,relation_lock_after,audit_passed,scenario_type,baseline_name,seed
,clr_02,6,0.723328,0.415,0.74,0.8492,0.7596,0.0,0.06,0.25,0.25,0.24,0.42,NO_OP,,0.0,0.0,False,False,True,0.0,0.57692,0.710828,0.4275,0.76,0.8474,0.7596,0.0,0.06,True,delayed_side_effect,NO_ACTION,3.0
,clr_02,7,0.710828,0.4275,0.76,0.8474,0.7596,0.0,0.06,0.25,0.25,0.24,0.42,NO_OP,,0.0,0.0,False,False,True,0.0,0.57692,0.698328,0.44,0.78,0.8456,0.7596,0.0,0.06,True,delayed_side_effect,NO_ACTION,3.0
,clr_02,8,0.698328,0.44,0.78,0.8456,0.7596,0.0,0.06,0.25,0.25,0.24,0.42,NO_OP,,0.0,0.0,False,False,True,0.0,0.57692,0.685828,0.4525,0.8,0.8438,0.7596,0.0,0.06,True,delayed_side_effect,NO_ACTION,3.0
,clr_02,9,0.685828,0.4525,0.8,0.8438,0.7596,0.0,0.06,0.25,0.25,0.24,0.42,NO_OP,,0.0,0.0,False,False,True,0.0,0.57692,0.673328,0.465,0.82,0.842,0.7596,0.0,0.06,True,delayed_side_effect,NO_ACTION,3.0
,clr_02,10,0.673328,0.465,0.82,0.842,0.7596,0.0,0.06,0.25,0.25,0.24,0.42,NO_OP,,0.0,0.0,False,False,True,0.0,0.57692,0.660828,0.4775,0.84,0.8402,0.7596,0.0,0.06,True,delayed_side_effect,NO_ACTION,3.0
,clr_02,11,0.660828,0.4775,0.84,0.8402,0.7596,0.0,0.06,0.25,0.25,0.24,0.42,NO_OP,,0.0,0.0,False,False,True,0.0,0.57692,0.648328,0.49,0.86,0.8384,0.7596,0.0,0.06,True,delayed_side_effect,NO_ACTION,3.0
,clr_02,4,0.746995,0.39,0.7,0.8528,0.7596,0.0,0.06,0.25,0.25,0.24,0.42,NO_OP,,0.0,0.0,False,False,True,0.0,0.57692,0.734495,0.4025,0.72,0.851,0.7596,0.0,0.06,True,delayed_side_effect,NO_ACTION,4.0
,clr_02,5,0.734495,0.4025,0.72,0.851,0.7596,0.0,0.06,0.25,0.25,0.24,0.42,NO_OP,,0.0,0.0,False,False,True,0.0,0.57692,0.721995,0.415,0.74,0.8492,0.7596,0.0,0.06,True,delayed_side_effect,NO_ACTION,4.0
,clr_02,6,0.721995,0.415,0.74,0.8492,0.7596,0.0,0.06,0.25,0.25,0.24,0.42,NO_OP,,0.0,0.0,False,False,True,0.0,0.57692,0.709495,0.4275,0.76,0.8474,0.7596,0.0,0.06,True,delayed_side_effect,NO_ACTION,4.0
,clr_02,7,0.709495,0.4275,0.76,0.8474,0.7596,0.0,0.06,0.25,0.25,0.24,0.42,NO_OP,,0.0,0.0,False,False,True,0.0,0.57692,0.696995,0.44,0.78,0.8456,0.7596,0.0,0.06,True,delayed_side_effect,NO_ACTION,4.0
,clr_02,8,0.696995,0.44,0.78,0.8456,0.7596,0.0,0.06,0.25,0.25,0.24,0.42,NO_OP,,0.0,0.0,False,False,True,0.0,0.57692,0.684495,0.4525,0.8,0.8438,0.7596,0.0,0.06,True,delayed_side_effect,NO_ACTION,4.0
,clr_02,9,0.684495,0.4525,0.8,0.8438,0.7596,0.0,0.06,0.25,0.25,0.24,0.42,NO_OP,,0.0,0.0,False,False,True,0.0,0.57692,0.671995,0.465,0.82,0.842,0.7596,0.0,0.06,True,delayed_side_effect,NO_ACTION,4.0
,clr_02,10,0.671995,0.465,0.82,0.842,0.7596,0.0,0.06,0.25,0.25,0.24,0.42,NO_OP,,0.0,0.0,False,False,True,0.0,0.57692,0.659495,0.4775,0.84,0.8402,0.7596,0.0,0.06,True,delayed_side_effect,NO_ACTION,4.0
,clr_02,11,0.659495,0.4775,0.84,0.8402,0.7596,0.0,0.06,0.25,0.25,0.24,0.42,NO_OP,,0.0,0.0,False,False,True,0.0,0.57692,0.646995,0.49,0.86,0.8384,0.7596,0.0,0.06,True,delayed_side_effect,NO_ACTION,4.0
,clr_02,4,1.0,0.179152,0.5416,0.8182,0.679045,0.2464,0.148,0.342727,0.25,0.24,0.42,EXECUTE,explore,0.22,0.405664,False,False,False,0.294782,0.260064,0.933937,0.387434,0.522,0.8211,0.638047,0.288,0.17,True,delayed_side_effect,V2_GREEDY_OPTIMIZER,0.0
,clr_02,7,0.986088,0.549556,0.4828,0.76492,0.543502,0.3712,0.214,0.51551,0.25,0.24,0.42,EXECUTE,de_risk,0.22,0.659609,False,True,False,0.370339,0.118811,0.997053,0.768395,0.4632,0.73584,0.48758,0.4722,0.236,True,delayed_side_effect,V2_GREEDY_OPTIMIZER,0.0
,clr_02,8,0.997053,0.768395,0.4632,0.73584,0.48758,0.4722,0.236,0.662171,0.25,0.24,0.42,EXECUTE,de_risk,0.22,0.852188,False,True,False,0.419047,0.058446,0.988534,1.0,0.4436,0.7061,0.422748,0.5732,0.258,True,delayed_side_effect,V2_GREEDY_OPTIMIZER,0.0
,clr_02,9,0.988534,1.0,0.4436,0.7061,0.422748,0.5732,0.258,0.8176,0.25,0.24,0.42,EXECUTE,de_risk,0.22,0.88,False,True,False,0.467755,0.240669,0.960532,1.0,0.424,0.6757,0.349004,0.6742,0.28,True,delayed_side_effect,V2_GREEDY_OPTIMIZER,0.0
,clr_02,10,0.960532,1.0,0.424,0.6757,0.349004,0.6742,0.28,0.981796,0.25,0.24,0.42,EXECUTE,de_risk,0.22,0.88,False,True,False,0.516463,0.189505,0.913046,1.0,0.4044,0.64464,0.26635,0.7752,0.302,True,delayed_side_effect,V2_GREEDY_OPTIMIZER,0.0
