candidate_name,candidate_role,dataset,projection_type,snapshot_count,reconstruction_error_mean,reconstruction_error_max,residual_energy_ratio_mean,residual_energy_ratio_max,mahalanobis_distance_mean,mahalanobis_distance_max,score_range_violation_rate,out_of_envelope_rate,external_residual_gain_mean,external_score_displacement_mean,external_gt_velocity_mean,external_gt_curvature_mean,residual_factor_signal_ratio_mean,delta_out_of_envelope_rate_vs_task3_1,delta_residual_gain_vs_task3_1,delta_score_displacement_vs_task3_1
sqrt_static_pca_10_external_envelope,focus_candidate,fit_external,external_envelope_fixed_pca_projection,384,6.628808343724336e-05,0.000173328740444645,0.0025684121334742824,0.015802479396372096,1.8294771523398605,2.3673114203394827,0.0,0.0,0.0009032802383572696,0.04917950576965663,0.02405509046926872,0.0012954019171721523,0.004486692411903734,-1.0,0.010417901557168676,0.2603014033911295
sqrt_static_pca_10_external_envelope,focus_candidate,holdout_external,external_envelope_fixed_pca_projection,90,0.0011487944854950934,0.003214471945267854,0.2071148456016828,0.29642113845377943,2.956378818614544,10.046226090482227,0.3111111111111111,1.0,-0.05496757695978473,0.14714282908249313,0.02330993548040744,0.0010763034405143034,-0.11507216140907543,0.0,-0.2183780985332393,0.3081256774005552
sqrt_static_pca_10_external_envelope,focus_candidate,no_external_reference,external_envelope_fixed_pca_projection,121,0.00039942504906778566,0.002063592750169179,0.005834069350383494,0.025541368014879204,4.934834844212833,22.447633187139633,0.0,0.11570247933884298,4.085918931019752e-19,0.1650203080818003,0.1658778835547479,0.14375924893509784,1375946383.8085024,-0.884297520661157,0.0004780579684573341,0.14069261063793476
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_envelope_fixed_pca_projection,384,6.489412014706143e-05,0.00017253087971113044,0.002478600390975957,0.01558036286496756,1.8326409964335433,2.3707137242947596,0.0,0.0234375,0.0008927078041862836,0.0491883843580652,0.02406113649743875,0.0013015392269430384,0.004687083276725918,-0.9765625,0.004680115921536316,0.2611834297208662
sqrt_static_pca_12_external_envelope,higher_dimension_audit,holdout_external,external_envelope_fixed_pca_projection,90,0.0011306906619769146,0.003137918326881481,0.2039208177158953,0.29490430896573033,3.282044917100388,11.41317189692391,0.3111111111111111,1.0,-0.0571102143989492,0.14735353310764318,0.02334997601748391,0.0010939140061651054,-0.125580712205545,0.0,-0.2177133084055851,0.308009981808378
sqrt_static_pca_12_external_envelope,higher_dimension_audit,no_external_reference,external_envelope_fixed_pca_projection,121,0.0002914752971233141,0.0016560794683246455,0.0034942539287309746,0.023301705316853476,5.4897773363797535,22.448414720327087,0.0,0.10743801652892562,-5.017795178445309e-19,0.1651430317882733,0.16605646220313883,0.1439009204388675,789021047.3912966,-0.8925619834710744,6.315233157832013e-05,0.14083322825998154
sqrt_static_pca_15_external_envelope,extended_dimension_audit,fit_external,external_envelope_fixed_pca_projection,384,6.0101272396200464e-05,0.0001715681772496532,0.0022527294045925437,0.015541225732912287,1.8885842461379003,2.448329127291152,0.0,0.057291666666666664,0.0008861231592091618,0.0492324030899459,0.024090436109989306,0.001582595930257446,0.004788046316743388,-0.9427083333333334,-0.0007788207716550257,0.2620707816825426
sqrt_static_pca_15_external_envelope,extended_dimension_audit,holdout_external,external_envelope_fixed_pca_projection,90,0.001019090469974586,0.002658216259922098,0.19045205617366767,0.29212970215343953,8.566238705190688,36.383400099122554,0.3111111111111111,1.0,-0.07001417772148345,0.14909856031451826,0.02363374925292046,0.0013426035548833792,-0.17045017679166657,0.0,-0.22352701186017526,0.30886359554878995
sqrt_static_pca_15_external_envelope,extended_dimension_audit,no_external_reference,external_envelope_fixed_pca_projection,121,0.00018267468547399052,0.000615471367731351,0.0012430813033631582,0.004545568482576746,6.2605765007417,22.448734803907183,0.0,0.08264462809917356,2.9389943188036813e-19,0.16539905224895912,0.1662607878707759,0.14409205810091186,248895961.6317673,-0.9173553719008265,-0.00013011196032122827,0.14113261205115435
raw_static_pca_10_external_envelope,numerical_reconstruction_baseline,fit_external,external_envelope_fixed_pca_projection,384,2.4139927884513824e-06,1.136354402693394e-05,0.00041129998129504344,0.004275452238228797,1.9489010694138063,2.5899108798582224,0.0,0.041666666666666664,0.00037663471161776345,0.005087310514783678,0.0024849903083511643,0.00014195013332009166,0.04572326085771224,-0.9583333333333334,4.8158102992445866e-05,0.029907128463621094
raw_static_pca_10_external_envelope,numerical_reconstruction_baseline,holdout_external,external_envelope_fixed_pca_projection,90,3.745974426571599e-05,0.00018549510318231015,0.011919375296305145,0.059602179959332605,11.422944191248176,60.701011669496395,0.4666666666666667,0.9777777777777777,0.008107001037119824,0.014760951781228483,0.0023635328214537724,0.0001350917833340281,0.2062250328827364,-0.022222222222222254,0.0005657306208319826,0.0361138791026904
raw_static_pca_10_external_envelope,numerical_reconstruction_baseline,no_external_reference,external_envelope_fixed_pca_projection,121,1.9343116660014578e-06,4.74604546022474e-05,4.6736749426045765e-05,0.0015412309229659905,4.752027620078801,22.449710982577745,0.0,0.0743801652892562,-7.280283183012168e-22,0.006323651055901771,0.006377155418236837,0.005536435073167928,13780749.968073552,-0.9173553719008265,-3.32746788943369e-05,0.013972223072535013
sqrt_sparse_temporal_lag_pca_10_external_envelope,temporal_audit_candidate,fit_external,external_envelope_fixed_pca_projection,384,6.772308598813728e-05,0.00017016685827524137,0.0026653661441415205,0.015792726050751337,1.8294425299200894,2.3657673319633243,0.0,0.0,0.0008615457386808318,0.049176736404592726,0.024054150158665077,0.0012887306146179421,0.004169143265197827,-1.0,0.010578054801971607,0.2608178633038986
sqrt_sparse_temporal_lag_pca_10_external_envelope,temporal_audit_candidate,holdout_external,external_envelope_fixed_pca_projection,90,0.001127263735757698,0.003156089281898714,0.20676903485502274,0.29592334950726495,2.955299602299339,10.031753445476213,0.3111111111111111,1.0,-0.054811924801674926,0.14713500942319072,0.02330665819670654,0.0010741046995819017,-0.1155499154487355,0.0,-0.21498716311023144,0.3081410486768319
sqrt_sparse_temporal_lag_pca_10_external_envelope,temporal_audit_candidate,no_external_reference,external_envelope_fixed_pca_projection,121,0.00045135591697283736,0.003483948663666078,0.006690870895003629,0.04092965995219266,4.937669000653219,22.446233123666072,0.0,0.10743801652892562,-5.806305849343858e-19,0.09715499283595219,0.06496783846341238,0.0073039345252166685,368062796.4965468,-0.8925619834710744,0.0002597238576463726,0.07395903828858597
