candidate_name,candidate_role,dataset,external_factor_name,scenario_id,snapshot_count,external_score_displacement_mean,external_residual_gain_mean,out_of_envelope_rate,residual_factor_signal_ratio_mean
sqrt_static_pca_10_external_envelope,focus_candidate,fit_external,external_shock,fit_single_external_shock_1.00,12,0.04653844514193941,0.0016799766924826228,0.0,0.012162180918261425
sqrt_static_pca_10_external_envelope,focus_candidate,fit_external,external_shock+external_constraint_pressure,fit_shock_plus_constraint,12,0.046944854168817,0.003262480360854995,0.0,0.03333199202731463
sqrt_static_pca_10_external_envelope,focus_candidate,holdout_external,external_competition_pressure,holdout_unseen_intensity_competition,8,0.04934747442088686,-0.003648774118447339,1.0,0.12237012386322021
sqrt_static_pca_10_external_envelope,focus_candidate,holdout_external,external_constraint_pressure,holdout_long_sustained_constraint,42,0.26072624161359,-0.11740776349357838,1.0,-0.4328300132106592
sqrt_static_pca_10_external_envelope,focus_candidate,holdout_external,external_information_noise,holdout_unseen_intensity_noise,8,0.04799505080533885,-0.0008816207266537542,1.0,0.15547871589660645
sqrt_static_pca_10_external_envelope,focus_candidate,holdout_external,external_information_noise+external_constraint_pressure,holdout_compound_unseen,8,0.04766905689338481,0.0003528768193873412,1.0,0.17310082912445068
sqrt_static_pca_10_external_envelope,focus_candidate,holdout_external,external_resource_supply,holdout_delayed_reversal_resource,8,0.0479551334931222,-0.0008750047821052299,1.0,0.15340226888656616
sqrt_static_pca_10_external_envelope,focus_candidate,holdout_external,external_shock,holdout_late_pulse_shock,8,0.04840122930638834,-0.003189206533035914,1.0,0.12533527612686157
sqrt_static_pca_10_external_envelope,focus_candidate,holdout_external,external_shock+external_constraint_pressure,holdout_stronger_shock,8,0.04517611378757902,0.00624724688456299,1.0,0.2481091022491455
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_competition_pressure,fit_single_external_competition_pressure_0.25,12,0.04997137403871777,-0.00014498996852881565,0.0,-0.007765023302078171
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_competition_pressure,fit_single_external_competition_pressure_0.50,12,0.050373267597531766,0.0005367267957654703,0.0,0.00039380372561731463
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_competition_pressure,fit_single_external_competition_pressure_0.75,12,0.050690649558520394,0.0016523563151594218,0.0,0.013587299558612596
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_competition_pressure,fit_single_external_competition_pressure_1.00,12,0.0508919291845334,0.0031458903046484798,0.0,0.031081501164843515
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_competition_pressure+external_information_noise,fit_competition_plus_noise,12,0.05017041472887421,0.0032234924875158438,0.0,0.032705621329208005
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_constraint_pressure,fit_pulse_external_constraint_pressure_t4,12,0.049563555904225814,-0.000307292003069966,0.0,-0.009911939813015571
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_constraint_pressure,fit_single_external_constraint_pressure_0.25,12,0.04935930371278854,-1.9165275331658338e-05,0.0,-0.006485269718883257
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_constraint_pressure,fit_single_external_constraint_pressure_0.50,12,0.0491891422575065,0.0009582961135046596,0.0,0.005521279808255849
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_constraint_pressure,fit_single_external_constraint_pressure_0.75,12,0.04906339718971243,0.0025012234467421527,0.0,0.024677489605632624
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_constraint_pressure,fit_single_external_constraint_pressure_1.00,12,0.04897053583104192,0.004505137063477622,0.25,0.04973228193340917
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_demand,fit_reversal_demand,12,0.049850926202721524,-0.0001653938975064012,0.0,-0.00790842523435418
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_demand,fit_single_external_demand_+0.50,12,0.049702685248865223,-0.00028770871858638605,0.0,-0.009528220817935222
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_demand,fit_single_external_demand_+1.00,12,0.049850926202721524,-0.0001653938975064012,0.0,-0.00790842523435418
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_demand,fit_single_external_demand_-0.50,12,0.04925686190749346,-0.00032840359960156166,0.0,-0.01026695838897073
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_demand,fit_single_external_demand_-1.00,12,0.048963830019501935,-0.0003273255167204881,0.0,-0.010369233117224612
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_information_noise,fit_pulse_external_information_noise_t4,12,0.049563555904225814,-0.000307292003069966,0.0,-0.009911939813015571
sqrt_static_pca_12_external_envelope,higher_dimension_audit,fit_external,external_information_noise,fit_single_external_information_noise_0.25,12,0.04939008867194622,-5.141131526386698e-05,0.0,-0.006870823834501376
