case_id,stress_family,reason_jp,scenario,seed,steps,n_entities,noise_scale,drift_scale,action_coupling,exploration_enabled,cycle_rows,action_frame_rows,exploration_candidate_rows,exploration_sandbox_rows,exploration_projection_rows,exploration_sidecar_rows,exploration_passed_count_max,exploration_watch_count_max,exploration_blocked_count_max,exploration_unverified_candidate_can_pass,max_noise_score,mean_noise_score,max_active_noise_rows,max_persistent_noise_rows,max_exploration_gap,max_local_observation_need,max_coactivation_risk_score,mean_coactivation_risk_score,gate_decision_counts_json,gate_allow_count,gate_dampen_count,gate_defer_count,gate_block_count,gate_monitor_only_count,max_shadow_total_abs_delta,canonical_write_performed,world_write_performed,gk_writeback_performed,final_world_uncertainty,final_world_exploration,final_world_relation_lock,boundary_violation_count,boundary_violation_report_rows,all_sanity_checks_passed,stress_validation_claim_scope,stress_case_status,watch_flags_json,watch_flag_count
S00_baseline_normal,baseline,最小統合後の基準線。stress判定の比較対象。,normal,1700,6,18,0.018,0.006,0.045,True,6,902,36,36,18,36,4,4,0,False,0.38698340586798174,0.37705012665707915,0,0,0.3498094138500723,0.26912780587564183,0.45270772440659957,0.4381403898648875,"{""dampen"": 6}",0,6,0,0,0,0.11271867019947326,False,False,False,0.4143113765439615,0.507515103024027,0.5013829883448723,0,0,True,synthetic_pseudo_reality_stress_diagnostic_only__not_deployment_safety__RC1,pass_with_watch,"[""coactivation_dampen_zone""]",1
S01_high_noise_residual_growth,residual_noise_growth,未分類ノイズ・残差増大時にO_t/noise ledger/explorationが落ちないか確認。,normal,1701,8,18,0.06,0.016,0.045,True,8,1210,48,48,43,48,6,1,0,False,0.5960992137961156,0.51147512847411,0,3,0.5111908341776636,0.38392276742075815,0.4991890711603987,0.47172304496722345,"{""dampen"": 8}",0,8,0,0,0,0.10584188310558523,False,False,False,0.4410876170192479,0.4430498387955457,0.48996848060841497,0,0,True,synthetic_pseudo_reality_stress_diagnostic_only__not_deployment_safety__RC1,pass_with_watch,"[""coactivation_dampen_zone""]",1
S02_exploration_loss_overconvergence,overconvergence_exploration_loss,探索低下・関係固定化方向のdriftで、探索候補とshadowが安全境界内に留まるか確認。,exploration_loss,1702,10,18,0.026,0.012,0.05,True,10,1408,60,60,60,60,6,0,0,False,0.5273661511333828,0.4643116246580373,2,18,0.5826866382435026,0.44004256585902235,0.5354141606753574,0.5040688492923497,"{""dampen"": 10}",0,10,0,0,0,0.1449513799006881,False,False,False,0.45327874085336795,0.13227269042784603,0.806273301876349,0,0,True,synthetic_pseudo_reality_stress_diagnostic_only__not_deployment_safety__RC1,pass_with_watch,"[""coactivation_dampen_zone""]",1
S03_relation_lock_pressure,relation_lock,relation_lock/couplingが高い系で、作用候補・gate・境界guardが破綻しないか確認。,relation_lock,1703,10,18,0.03,0.012,0.05,True,10,1408,60,60,17,60,3,5,0,False,0.5787719938940664,0.5239649958429542,1,18,0.5658028581824951,0.43191794680983303,0.5539490499372757,0.5181357697336011,"{""dampen"": 10}",0,10,0,0,0,0.1831697922645686,False,False,False,0.4719811218450839,0.27110694860972073,0.9335922251213926,0,0,True,synthetic_pseudo_reality_stress_diagnostic_only__not_deployment_safety__RC1,pass_with_watch,"[""coactivation_dampen_zone""]",1
S04_dense_coactivation_pressure,same_step_coactivation,候補数・作用密度・noiseを増やして、同時発火門がwatch/defer/block相当を監査できるか確認。,relation_lock,1704,8,24,0.04,0.014,0.08,True,8,1122,48,48,10,48,3,6,0,False,0.5858071055169739,0.5238949955401189,2,24,0.5178842885068845,0.4124705156648514,0.5621531695677088,0.4947910466389943,"{""allow"": 1, ""dampen"": 7}",1,7,0,0,0,0.1767996733009491,False,False,False,0.45945770875752956,0.30386380544707764,0.8904931203512844,0,0,True,synthetic_pseudo_reality_stress_diagnostic_only__not_deployment_safety__RC1,pass_with_watch,"[""coactivation_dampen_zone""]",1
S05_shock_recovery_window,shock_recovery,PseudoReality既定shock_time=18を跨ぎ、外乱後に境界が維持されるか確認。,shock,1705,20,18,0.026,0.008,0.05,True,20,3058,120,120,46,120,4,5,0,False,0.7772987071622931,0.5872563372497777,2,18,0.5010501263005516,0.4588406562379563,0.5691255350204374,0.5075828266674977,"{""dampen"": 20}",0,20,0,0,0,0.17656783091543252,False,False,False,0.726617112165491,0.4405681764962185,0.5662092082972997,0,0,True,synthetic_pseudo_reality_stress_diagnostic_only__not_deployment_safety__RC1,pass_with_watch,"[""residual_noise_high"", ""coactivation_dampen_zone""]",2
S06_exploration_off_high_noise_regression,exploration_off_regression,探索offでもzero-source監査と基本閉ループが壊れないか確認。,normal,1706,8,18,0.05,0.014,0.045,False,8,1210,0,0,0,8,0,0,0,False,0.5526241518021761,0.4812927366377726,0,3,0.47862538022212375,0.3650931265552632,0.3873728959533011,0.3583902315621268,"{""allow"": 4, ""dampen"": 4}",4,4,0,0,0,0.10865899611484067,False,False,False,0.45324434092673854,0.4761718463520276,0.5082692574720967,0,0,True,synthetic_pseudo_reality_stress_diagnostic_only__not_deployment_safety__RC1,pass_with_watch,"[""coactivation_dampen_zone""]",1
