row_index,distribution_state_id,distribution_group,scenario_split,scenario_id,seed,t,n_bins,cell_count,base_pair_key
26,external_augmented|fit_external|fit_single_external_demand_-1.00|seed2|t12|n4,external_augmented,fit_external,fit_single_external_demand_-1.00,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
27,external_augmented|fit_external|fit_single_external_demand_-0.50|seed0|t12|n4,external_augmented,fit_external,fit_single_external_demand_-0.50,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
28,external_augmented|fit_external|fit_single_external_demand_-0.50|seed1|t12|n4,external_augmented,fit_external,fit_single_external_demand_-0.50,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
29,external_augmented|fit_external|fit_single_external_demand_-0.50|seed2|t12|n4,external_augmented,fit_external,fit_single_external_demand_-0.50,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
30,external_augmented|fit_external|fit_single_external_demand_+0.50|seed0|t12|n4,external_augmented,fit_external,fit_single_external_demand_+0.50,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
31,external_augmented|fit_external|fit_single_external_demand_+0.50|seed1|t12|n4,external_augmented,fit_external,fit_single_external_demand_+0.50,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
32,external_augmented|fit_external|fit_single_external_demand_+0.50|seed2|t12|n4,external_augmented,fit_external,fit_single_external_demand_+0.50,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
33,external_augmented|fit_external|fit_single_external_demand_+1.00|seed0|t12|n4,external_augmented,fit_external,fit_single_external_demand_+1.00,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
34,external_augmented|fit_external|fit_single_external_demand_+1.00|seed1|t12|n4,external_augmented,fit_external,fit_single_external_demand_+1.00,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
35,external_augmented|fit_external|fit_single_external_demand_+1.00|seed2|t12|n4,external_augmented,fit_external,fit_single_external_demand_+1.00,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
36,external_augmented|fit_external|fit_single_external_competition_pressure_0.25|seed0|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_0.25,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
37,external_augmented|fit_external|fit_single_external_competition_pressure_0.25|seed1|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_0.25,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
38,external_augmented|fit_external|fit_single_external_competition_pressure_0.25|seed2|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_0.25,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
39,external_augmented|fit_external|fit_single_external_competition_pressure_0.50|seed0|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_0.50,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
40,external_augmented|fit_external|fit_single_external_competition_pressure_0.50|seed1|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_0.50,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
41,external_augmented|fit_external|fit_single_external_competition_pressure_0.50|seed2|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_0.50,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
42,external_augmented|fit_external|fit_single_external_competition_pressure_0.75|seed0|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_0.75,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
43,external_augmented|fit_external|fit_single_external_competition_pressure_0.75|seed1|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_0.75,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
44,external_augmented|fit_external|fit_single_external_competition_pressure_0.75|seed2|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_0.75,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
45,external_augmented|fit_external|fit_single_external_competition_pressure_1.00|seed0|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_1.00,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
46,external_augmented|fit_external|fit_single_external_competition_pressure_1.00|seed1|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_1.00,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
47,external_augmented|fit_external|fit_single_external_competition_pressure_1.00|seed2|t12|n4,external_augmented,fit_external,fit_single_external_competition_pressure_1.00,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
48,external_augmented|fit_external|fit_single_external_information_noise_0.25|seed0|t12|n4,external_augmented,fit_external,fit_single_external_information_noise_0.25,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
49,external_augmented|fit_external|fit_single_external_information_noise_0.25|seed1|t12|n4,external_augmented,fit_external,fit_single_external_information_noise_0.25,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
50,external_augmented|fit_external|fit_single_external_information_noise_0.25|seed2|t12|n4,external_augmented,fit_external,fit_single_external_information_noise_0.25,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
51,external_augmented|fit_external|fit_single_external_information_noise_0.50|seed0|t12|n4,external_augmented,fit_external,fit_single_external_information_noise_0.50,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
52,external_augmented|fit_external|fit_single_external_information_noise_0.50|seed1|t12|n4,external_augmented,fit_external,fit_single_external_information_noise_0.50,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
53,external_augmented|fit_external|fit_single_external_information_noise_0.50|seed2|t12|n4,external_augmented,fit_external,fit_single_external_information_noise_0.50,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
54,external_augmented|fit_external|fit_single_external_information_noise_0.75|seed0|t12|n4,external_augmented,fit_external,fit_single_external_information_noise_0.75,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
55,external_augmented|fit_external|fit_single_external_information_noise_0.75|seed1|t12|n4,external_augmented,fit_external,fit_single_external_information_noise_0.75,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
56,external_augmented|fit_external|fit_single_external_information_noise_0.75|seed2|t12|n4,external_augmented,fit_external,fit_single_external_information_noise_0.75,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
57,external_augmented|fit_external|fit_single_external_information_noise_1.00|seed0|t12|n4,external_augmented,fit_external,fit_single_external_information_noise_1.00,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
58,external_augmented|fit_external|fit_single_external_information_noise_1.00|seed1|t12|n4,external_augmented,fit_external,fit_single_external_information_noise_1.00,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
59,external_augmented|fit_external|fit_single_external_information_noise_1.00|seed2|t12|n4,external_augmented,fit_external,fit_single_external_information_noise_1.00,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
60,external_augmented|fit_external|fit_single_external_shock_0.25|seed0|t12|n4,external_augmented,fit_external,fit_single_external_shock_0.25,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
61,external_augmented|fit_external|fit_single_external_shock_0.25|seed1|t12|n4,external_augmented,fit_external,fit_single_external_shock_0.25,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
62,external_augmented|fit_external|fit_single_external_shock_0.25|seed2|t12|n4,external_augmented,fit_external,fit_single_external_shock_0.25,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
63,external_augmented|fit_external|fit_single_external_shock_0.50|seed0|t12|n4,external_augmented,fit_external,fit_single_external_shock_0.50,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
64,external_augmented|fit_external|fit_single_external_shock_0.50|seed1|t12|n4,external_augmented,fit_external,fit_single_external_shock_0.50,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
65,external_augmented|fit_external|fit_single_external_shock_0.50|seed2|t12|n4,external_augmented,fit_external,fit_single_external_shock_0.50,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
66,external_augmented|fit_external|fit_single_external_shock_0.75|seed0|t12|n4,external_augmented,fit_external,fit_single_external_shock_0.75,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
67,external_augmented|fit_external|fit_single_external_shock_0.75|seed1|t12|n4,external_augmented,fit_external,fit_single_external_shock_0.75,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
68,external_augmented|fit_external|fit_single_external_shock_0.75|seed2|t12|n4,external_augmented,fit_external,fit_single_external_shock_0.75,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
69,external_augmented|fit_external|fit_single_external_shock_1.00|seed0|t12|n4,external_augmented,fit_external,fit_single_external_shock_1.00,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
70,external_augmented|fit_external|fit_single_external_shock_1.00|seed1|t12|n4,external_augmented,fit_external,fit_single_external_shock_1.00,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
71,external_augmented|fit_external|fit_single_external_shock_1.00|seed2|t12|n4,external_augmented,fit_external,fit_single_external_shock_1.00,2,12,4,1024,seed=2|t=12|n_bins=4|scenario_split=fit_external
72,external_augmented|fit_external|fit_single_external_constraint_pressure_0.25|seed0|t12|n4,external_augmented,fit_external,fit_single_external_constraint_pressure_0.25,0,12,4,1024,seed=0|t=12|n_bins=4|scenario_split=fit_external
73,external_augmented|fit_external|fit_single_external_constraint_pressure_0.25|seed1|t12|n4,external_augmented,fit_external,fit_single_external_constraint_pressure_0.25,1,12,4,1024,seed=1|t=12|n_bins=4|scenario_split=fit_external
